UID,Taxonomy ID,Species Key,Belt
1677650587,141191,5420912,7
1654700304,141191,5420912,7
1674864531,4442,3189635,5
1468712715,4442,3189635,5
430728250,4442,3189635,5
555945899,4442,3189635,5
435856351,4442,3189635,5
1465196198,261999,3189635,5
1465196112,261999,3189635,5
1465196026,261999,3189635,5
1465195940,261999,3189635,5
667670671,542762,3189635,5
667670583,1523626,3189635,5
667670495,1523627,3189635,5
1674864265,138327,2857379,5
1672732587,1196480,5387504,5
1669285201,40788,5371609,4
1669285117,61222,5567780,5
1669285033,61222,5567780,5
1669284949,61222,5567780,5
1669284865,61222,5567780,5
1669284781,369350,5371610,5
1669284697,369350,5371610,5
1669284613,242209,5567542,5
1669284529,40796,5371645,5
1669284445,423500,3032655,5
1669284361,423499,3032681,5
1669284275,99046,7970844,7
1669284189,99046,7970844,7
1669283668,93977,3172278,6
1624683638,93977,3172278,6
1607270091,93977,3172278,6
1669285383,2358316,6070572,7
1665686157,4217,7353729,5
1540587446,4217,7353729,5
1665685578,2358324,8150344,7
1665685490,2358323,7513343,7
1665685405,588669,7751501,5
1665683028,885028,2671805,5
1642526042,168120,3646601,6
1595112316,168120,3646601,6
1593553232,168120,3646601,6
1566350309,168120,3646601,6
1664595993,154293,5316652,7
953244989,154293,5316652,7
944543356,154293,5316652,7
1381384059,906689,5316652,7
1080111865,906689,5316652,7
1566197927,142615,5316652,7
1566197489,142615,5316652,7
1566197416,142615,5316652,7
1566197343,142615,5316652,7
1566197270,142615,5316652,7
1566197197,142615,5316652,7
1566197124,142615,5316652,7
1566197051,142615,5316652,7
1566196978,142615,5316652,7
1566196905,142615,5316652,7
1566196832,142615,5316652,7
1566196759,142615,5316652,7
1391209073,142615,5316652,7
691192140,142615,5316652,7
618750285,142615,5316652,7
507474303,142615,5316652,7
1566197635,183483,5316652,7
1566197562,183483,5316652,7
1391209146,183483,5316652,7
1436050220,183483,5316652,7
1655371918,13443,2895345,7
1585115429,13443,2895345,7
1585115158,13443,2895345,7
1585113611,13443,2895345,7
116242143,13443,2895345,7
116617087,13443,2895345,7
1654700906,122808,3989330,7
1654700820,141189,5635525,7
1654700734,2576875,3989199,7
1654700648,2291130,3988990,6
1654700562,22666,3188757,5
1654700390,141187,3988234,7
1654700218,2576877,7882739,7
1654700132,13129,3188736,5
1654700046,2576876,3988367,7
1654699960,1692140,3988684,6
1654699874,163010,7122825,7
1654264260,41844,8244689,5
1654263523,136217,2757624,7
1649118033,3885,5350452,7
158187113,3885,5350452,7
112030952,3885,5350452,7
139387430,3885,5350452,7
1644670806,37395,2688584,7
1644670721,3415,3152861,5
113200973,3415,3152861,5
114107025,3415,3152861,5
1389450391,113205,3171304,5
1635477327,1245680,5674238,5
1635477241,1245685,4116657,7
1369120374,1245685,4116657,7
1341119375,1245685,4116657,7
1635477069,1245682,5674076,6
