1677650587,141191
1674864531,4442
1674864265,138327
1672732587,1196480
1669285201,40788
1669285117,61222
1669285033,61222
1669284949,61222
1669284865,61222
1669284781,369350
1669284697,369350
1669284613,242209
1669284529,40796
1669284445,423500
1669284361,423499
1669284275,99046
1669284189,99046
1669283668,93977
1669285383,2358316
1665686157,4217
1665685578,2358324
1665685490,2358323
1665685405,588669
1665683028,885028
1662215669,2583372
1662215514,2583285
1642526042,168120
1595112316,168120
1664595993,154293
1657605373,2358325
1655371918,13443
1654700906,122808
1654700820,141189
1654700734,2576875
1654700648,2291130
1654700562,22666
1654700390,141187
1654700304,141191
1654700218,2576877
1654700132,13129
1654700046,2576876
1654699960,1692140
1654699874,163010
1654264260,41844
1654263523,136217
1649118033,3885
1644670806,37395
1644670721,3415
1389450391,113205
1635477327,1245680
1635477241,1245685
1635477155,1844071
1635477069,1245682
1635476983,1844070
1635476897,1245684
1635476811,751732
1635476725,1697098
1635476639,1914353
1635476553,1245681
1635476467,1844069
1635476381,1697080
1635476295,2576611
1635476209,751723
1635476123,751589
1635476037,2576627
1635475951,293749
1634528384,883148
1634528302,66004
1634528220,160545
1634528138,2528922
1634528056,1137531
1634527974,751736
1634527892,751642
1634527813,2528931
1634527731,2528930
1634527649,2528937
1634527567,751716
1642528544,2491091
1642528455,2491090
1642528365,1085342
1642528276,1382063
1642528187,2563121
1642528098,126564
1642528009,167908
1642527920,41398
1642527831,2491099
1642527742,2491098
1642527569,85216
1642527392,166594
1642527303,126360
1642527214,1471837
1642527125,1237795
1642527036,2491102
1642526947,2563120
1642526858,424909
1642526769,126556
1642526680,2563117
1642526591,1296280
1642526502,2491245
1642526388,1026954
1642526125,64034
1642525970,3192
1642525605,2507418
1642525505,99507
1642525244,751591
1642525156,1629762
1642524863,576365
1642524548,100521
1642524366,120620
1642524279,176135
1642524196,46959
1642524110,48401
1642523810,1387318
1642523155,112883
1642522747,180069
1642522177,141753
1642521721,74651
1642521038,183944
1642520848,262758
1642520425,300888
1642520341,3317
1642520257,307274
1642520172,3316
1642520089,2564002
1642519430,240045
1642519334,235734
